,Original,BLUR5,BLUR10,BLUR15,BLUR20,BLUR25
2nd,1,0,0,0,0,0
aa,1,0,0,0,0,0
above,9,9,6,4,1,5
absence,0,0,0,1,1,0
abstract,0,1,6,12,23,13
abstraction,0,0,0,1,0,1
abundance,1,0,0,0,0,0
accent,0,0,0,0,2,0
accents,2,1,0,1,0,0
accessory,0,1,1,0,0,0
accompanied,2,2,1,0,0,0
across,5,6,1,0,2,0
action,1,5,2,1,1,0
actions,0,0,0,1,0,0
active,0,2,0,0,1,0
actively,2,3,1,0,0,0
activities,0,2,0,0,0,0
activity,1,7,6,4,0,2
add,0,0,0,1,0,0
adding,28,16,13,10,9,2
additional,1,0,0,1,4,3
addressing,0,1,0,0,0,0
adds,0,3,0,1,2,0
adjusting,0,0,1,4,0,0
adorn,1,0,0,0,0,0
adorned,7,3,2,0,0,0
adult,1,0,0,0,0,0
adults,1,0,0,0,0,0
adventure,1,0,0,0,0,0
advertisement,1,0,0,0,0,0
aerial,2,3,0,0,0,0
aesthetic,2,0,0,0,0,0
afternoon,0,0,1,0,2,0
against,34,36,48,52,35,39
ahead,1,2,0,0,0,0
air,2,1,0,0,0,0
airborne,1,0,0,0,0,0
aircraft,5,2,0,0,0,0
airlines,2,0,0,0,0,0
airplane,5,1,0,0,0,0
airplanes,1,0,0,0,0,0
airport,4,1,0,0,0,0
airy,0,0,0,0,1,1
alertness,0,0,1,0,0,0
all,2,0,1,0,0,0
allowing,0,1,1,0,1,0
almost,0,1,6,13,13,23
aloft,1,0,0,0,0,0
along,4,2,2,0,0,0
alongside,0,1,0,0,0,0
alpine,1,0,0,0,0,0
also,1,2,0,0,0,0
alternating,1,1,0,0,0,0
amazon,1,0,0,0,0,0
amber,0,1,0,0,0,1
ambiance,4,4,4,1,1,1
ambient,0,0,0,1,1,0
american,2,1,0,0,0,0
amidst,5,1,2,0,0,0
amused,1,0,0,0,0,0
ancient,0,0,1,0,0,0
angle,1,2,2,0,0,0
angled,7,4,2,3,0,0
angles,0,0,0,0,1,0
angular,1,0,0,0,0,0
animal,1,5,2,0,1,0
another,7,4,2,2,1,2
anticipation,1,1,0,0,0,0
any,0,0,0,4,2,4
apart,0,0,1,1,0,1
apparent,0,0,0,1,1,2
appealing,1,0,0,0,0,0
appear,4,2,2,6,4,2
appearance,1,0,2,4,9,13
appearing,6,5,7,2,1,1
appears,27,61,80,80,71,47
appetizing,2,1,0,0,0,0
apple,1,2,0,0,0,1
apples,3,1,1,0,0,0
appliance,0,0,0,1,0,0
appliances,0,2,0,0,0,0
application,1,0,0,0,0,0
arches,1,0,1,0,0,0
architectural,1,1,3,2,0,0
architecture,2,1,3,0,0,0
